osu file format v14

[General]
AudioFilename: audio.mp3
AudioLeadIn: 0
PreviewTime: -1
Countdown: 0
SampleSet: Normal
StackLeniency: 0.7
Mode: 0
LetterboxInBreaks: 0
WidescreenStoryboard: 0

[Editor]
DistanceSpacing: 0.8
BeatDivisor: 4
GridSize: 32
TimelineZoom: 1

[Metadata]
Title:9 bit
TitleUnicode:9 bit
Artist:asdf
ArtistUnicode:asdf
Creator:Jakbquick
Version:
Source:
Tags:
BeatmapID:0
BeatmapSetID:-1

[Difficulty]
HPDrainRate:5
CircleSize:5
OverallDifficulty:5
ApproachRate:5
SliderMultiplier:1.4
SliderTickRate:1

[Events]
//Background and Video events
//Break Periods
//Storyboard Layer 0 (Background)
//Storyboard Layer 1 (Fail)
//Storyboard Layer 2 (Pass)
//Storyboard Layer 3 (Foreground)
//Storyboard Layer 4 (Overlay)
//Storyboard Sound Samples

[TimingPoints]
98,594.059405940594,4,1,0,100,1,0


[HitObjects]
70,148,2474,5,0,0:0:0:0:
181,161,2771,1,0,0:0:0:0:
169,201,3068,1,0,0:0:0:0:
184,224,3216,1,0,0:0:0:0:
204,242,3365,1,0,0:0:0:0:
232,242,3513,1,0,0:0:0:0:
232,242,3959,1,0,0:0:0:0:
232,242,4256,1,0,0:0:0:0:
232,242,4553,1,0,0:0:0:0:
256,192,4850,1,0,0:0:0:0:
288,160,5147,1,0,0:0:0:0:
320,128,5444,1,0,0:0:0:0:
320,128,5593,1,0,0:0:0:0:
352,96,5741,1,0,0:0:0:0:
352,128,5890,1,0,0:0:0:0:
320,224,6335,1,0,0:0:0:0:
320,256,6632,1,0,0:0:0:0:
288,288,6929,1,0,0:0:0:0:
256,256,7226,1,0,0:0:0:0:
224,256,7523,1,0,0:0:0:0:
192,192,7820,1,0,0:0:0:0:
192,160,7969,1,0,0:0:0:0:
192,128,8117,1,0,0:0:0:0:
160,96,8266,1,0,0:0:0:0:
96,128,8711,1,0,0:0:0:0:
32,128,9008,1,0,0:0:0:0:
64,128,9305,1,0,0:0:0:0:
128,160,9602,1,0,0:0:0:0:
160,160,9899,1,0,0:0:0:0:
192,192,10197,1,0,0:0:0:0:
224,192,10345,1,0,0:0:0:0:
256,224,10494,1,0,0:0:0:0:
288,256,10642,1,0,0:0:0:0:
288,256,11088,1,0,0:0:0:0:
288,256,11385,1,0,0:0:0:0:
288,256,11682,1,0,0:0:0:0:
288,256,11979,1,0,0:0:0:0:
